"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMP","TOT","PC_LF","Q","1966-Q3",1.8,
"AUS","UNEMP","TOT","PC_LF","Q","1966-Q4",1.7,
"AUS","UNEMP","TOT","PC_LF","Q","1967-Q1",1.8,
"AUS","UNEMP","TOT","PC_LF","Q","1967-Q2",2,
"AUS","UNEMP","TOT","PC_LF","Q","1967-Q3",1.9,
"AUS","UNEMP","TOT","PC_LF","Q","1967-Q4",1.8,
"AUS","UNEMP","TOT","PC_LF","Q","1968-Q1",1.9,
"AUS","UNEMP","TOT","PC_LF","Q","1968-Q2",1.9,
"AUS","UNEMP","TOT","PC_LF","Q","1968-Q3",1.8,
"AUS","UNEMP","TOT","PC_LF","Q","1968-Q4",1.7,
"AUS","UNEMP","TOT","PC_LF","Q","1969-Q1",1.8,
"AUS","UNEMP","TOT","PC_LF","Q","1969-Q2",1.8,
"AUS","UNEMP","TOT","PC_LF","Q","1969-Q3",1.7,
"AUS","UNEMP","TOT","PC_LF","Q","1969-Q4",1.9,
"AUS","UNEMP","TOT","PC_LF","Q","1970-Q1",1.6,
"AUS","UNEMP","TOT","PC_LF","Q","1970-Q2",1.7,
"AUS","UNEMP","TOT","PC_LF","Q","1970-Q3",1.7,
"AUS","UNEMP","TOT","PC_LF","Q","1970-Q4",1.6,
"AUS","UNEMP","TOT","PC_LF","Q","1971-Q1",1.7,
"AUS","UNEMP","TOT","PC_LF","Q","1971-Q2",1.9,
"AUS","UNEMP","TOT","PC_LF","Q","1971-Q3",1.9,
"AUS","UNEMP","TOT","PC_LF","Q","1971-Q4",2.2,
"AUS","UNEMP","TOT","PC_LF","Q","1972-Q1",2.4,
"AUS","UNEMP","TOT","PC_LF","Q","1972-Q2",2.4,
"AUS","UNEMP","TOT","PC_LF","Q","1972-Q3",2.9,
"AUS","UNEMP","TOT","PC_LF","Q","1972-Q4",2.8,
"AUS","UNEMP","TOT","PC_LF","Q","1973-Q1",2.6,
"AUS","UNEMP","TOT","PC_LF","Q","1973-Q2",2.3,
"AUS","UNEMP","TOT","PC_LF","Q","1973-Q3",2.1,
"AUS","UNEMP","TOT","PC_LF","Q","1973-Q4",2.1,
"AUS","UNEMP","TOT","PC_LF","Q","1974-Q1",2.1,
"AUS","UNEMP","TOT","PC_LF","Q","1974-Q2",2.1,
"AUS","UNEMP","TOT","PC_LF","Q","1974-Q3",2.7,
"AUS","UNEMP","TOT","PC_LF","Q","1974-Q4",4,
"AUS","UNEMP","TOT","PC_LF","Q","1975-Q1",4.8,
"AUS","UNEMP","TOT","PC_LF","Q","1975-Q2",4.8,
"AUS","UNEMP","TOT","PC_LF","Q","1975-Q3",4.7,
"AUS","UNEMP","TOT","PC_LF","Q","1975-Q4",5.4,
"AUS","UNEMP","TOT","PC_LF","Q","1976-Q1",4.9,
"AUS","UNEMP","TOT","PC_LF","Q","1976-Q2",4.5,
"AUS","UNEMP","TOT","PC_LF","Q","1976-Q3",4.8,
"AUS","UNEMP","TOT","PC_LF","Q","1976-Q4",4.9,
"AUS","UNEMP","TOT","PC_LF","Q","1977-Q1",5.2,
"AUS","UNEMP","TOT","PC_LF","Q","1977-Q2",5.6,
"AUS","UNEMP","TOT","PC_LF","Q","1977-Q3",5.8,
"AUS","UNEMP","TOT","PC_LF","Q","1977-Q4",5.9,"B"
"AUS","UNEMP","TOT","PC_LF","Q","1978-Q1",6.6,
"AUS","UNEMP","TOT","PC_LF","Q","1978-Q2",6.247291,
"AUS","UNEMP","TOT","PC_LF","Q","1978-Q3",6.329093,
"AUS","UNEMP","TOT","PC_LF","Q","1978-Q4",6.290366,
"AUS","UNEMP","TOT","PC_LF","Q","1979-Q1",6.299435,
"AUS","UNEMP","TOT","PC_LF","Q","1979-Q2",6.303057,
"AUS","UNEMP","TOT","PC_LF","Q","1979-Q3",6.185495,
"AUS","UNEMP","TOT","PC_LF","Q","1979-Q4",6.172864,
"AUS","UNEMP","TOT","PC_LF","Q","1980-Q1",6.018836,
"AUS","UNEMP","TOT","PC_LF","Q","1980-Q2",6.214065,
"AUS","UNEMP","TOT","PC_LF","Q","1980-Q3",6.110534,
"AUS","UNEMP","TOT","PC_LF","Q","1980-Q4",5.975347,
"AUS","UNEMP","TOT","PC_LF","Q","1981-Q1",5.752905,
"AUS","UNEMP","TOT","PC_LF","Q","1981-Q2",5.493331,
"AUS","UNEMP","TOT","PC_LF","Q","1981-Q3",5.81321,
"AUS","UNEMP","TOT","PC_LF","Q","1981-Q4",5.954592,
"AUS","UNEMP","TOT","PC_LF","Q","1982-Q1",6.197286,
"AUS","UNEMP","TOT","PC_LF","Q","1982-Q2",6.550255,
"AUS","UNEMP","TOT","PC_LF","Q","1982-Q3",7.091016,
"AUS","UNEMP","TOT","PC_LF","Q","1982-Q4",8.77672,
"AUS","UNEMP","TOT","PC_LF","Q","1983-Q1",9.624921,
"AUS","UNEMP","TOT","PC_LF","Q","1983-Q2",10.20324,
"AUS","UNEMP","TOT","PC_LF","Q","1983-Q3",10.31453,
"AUS","UNEMP","TOT","PC_LF","Q","1983-Q4",9.685612,
"AUS","UNEMP","TOT","PC_LF","Q","1984-Q1",9.35224,
"AUS","UNEMP","TOT","PC_LF","Q","1984-Q2",9.116517,
"AUS","UNEMP","TOT","PC_LF","Q","1984-Q3",8.791968,
"AUS","UNEMP","TOT","PC_LF","Q","1984-Q4",8.61071,
"AUS","UNEMP","TOT","PC_LF","Q","1985-Q1",8.51653,
"AUS","UNEMP","TOT","PC_LF","Q","1985-Q2",8.438321,
"AUS","UNEMP","TOT","PC_LF","Q","1985-Q3",8.144669,
"AUS","UNEMP","TOT","PC_LF","Q","1985-Q4",7.843212,
"AUS","UNEMP","TOT","PC_LF","Q","1986-Q1",7.891057,
"AUS","UNEMP","TOT","PC_LF","Q","1986-Q2",7.793152,
"AUS","UNEMP","TOT","PC_LF","Q","1986-Q3",8.220776,
"AUS","UNEMP","TOT","PC_LF","Q","1986-Q4",8.313378,
"AUS","UNEMP","TOT","PC_LF","Q","1987-Q1",8.250949,
"AUS","UNEMP","TOT","PC_LF","Q","1987-Q2",8.166851,
"AUS","UNEMP","TOT","PC_LF","Q","1987-Q3",7.971498,
"AUS","UNEMP","TOT","PC_LF","Q","1987-Q4",7.901124,
"AUS","UNEMP","TOT","PC_LF","Q","1988-Q1",7.49014,
"AUS","UNEMP","TOT","PC_LF","Q","1988-Q2",7.630565,
"AUS","UNEMP","TOT","PC_LF","Q","1988-Q3",6.914628,
"AUS","UNEMP","TOT","PC_LF","Q","1988-Q4",6.744299,
"AUS","UNEMP","TOT","PC_LF","Q","1989-Q1",6.590143,
"AUS","UNEMP","TOT","PC_LF","Q","1989-Q2",6.165458,
